2014年10月16日 外資及陸資買賣超彙總表 (股)
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數"
" ","4536  ","拓凱  ","21000","17000","4000",
" ","911609","揚子江","5000","1000","4000",
" ","911868","真明麗","4000","0","4000",
" ","9926  ","新海  ","5000","1000","4000",
" ","1324  ","地球  ","3000","0","3000",
" ","1414  ","東和  ","4000","1000","3000",
" ","1446  ","宏和  ","4000","1000","3000",
" ","1454  ","台富  ","4000","1000","3000",
" ","2477  ","美隆電","8000","5000","3000",
" ","3383  ","新世紀","124000","121000","3000",
" ","3557  ","嘉威  ","6000","3000","3000",
" ","4137  ","F-麗豐","28000","25000","3000",
" ","9946  ","三發  ","40000","37000","3000",
" ","2434  ","統懋  ","11000","9000","2000",
" ","2701  ","萬企  ","32000","30000","2000",
" ","3025  ","星通  ","3000","1000","2000",
" ","3040  ","遠見  ","12000","10000","2000",
" ","9955  ","佳龍  ","4000","2000","2000",
" ","1503  ","士電  ","104600","103000","1600",
" ","1724  ","台硝  ","2000","1000","1000",
" ","1809  ","中釉  ","20000","19000","1000",
" ","2365  ","昆盈  ","44000","43000","1000",
" ","2731  ","雄獅  ","1000","0","1000",
" ","2904  ","匯僑  ","14000","13000","1000",
" ","3130  ","一零四","1000","0","1000",
" ","3617  ","碩天  ","2000","1000","1000",
" ","5259  ","清惠  ","1000","0","1000",
" ","6216  ","居易  ","12000","11000","1000",
" ","8443  ","阿瘦  ","4000","3000","1000",
" ","1104  ","環泥  ","91500","91000","500",
" ","2409  ","友達  ","15318000","37517867","-22199867",
" ","3481  ","群創  ","3783000","20389076","-16606076",
" ",="0050  ","台灣50","16160","10818000","-10801840",
" ","2882  ","國泰金","4518700","14580970","-10062270",
" ","2311  ","日月光","9078000","17960823","-8882823",
" ","2881  ","富邦金","9791254","18251133","-8459879",
" ","2325  ","矽品  ","1622000","8532868","-6910868",
" ","2888  ","新光金","17198000","23290336","-6092336",
" ","2402  ","毅嘉  ","1931000","6727000","-4796000",
" ","2337  ","旺宏  ","2587000","7061000","-4474000",
" ","2324  ","仁寶  ","6576250","10512750","-3936500",
" ","3037  ","欣興  ","1074000","4897000","-3823000",
" ","9907  ","統一實","109000","3819000","-3710000",
" ","2382  ","廣達  ","1294000","4965521","-3671521",
" ","1303  ","南亞  ","2762000","6265692","-3503692",
" ","2330  ","台積電","24742000","28236775","-3494775",
" ","2353  ","宏碁  ","2596000","6084000","-3488000",
" ","2356  ","英業達","13148771","16422883","-3274112",
" ","2887  ","台新金","4648073","7469352","-2821279",
" ","3576  ","新日光","225000","2875000","-2650000",
" ","2369  ","菱生  ","320000","2758000","-2438000",
" ","1102  ","亞泥  ","1408000","3672080","-2264080",
" ","2603  ","長榮  ","2017320","4221000","-2203680",
" ","2618  ","長榮航","3015000","4949000","-1934000",
" ","2454  ","聯發科","5462052","7217279","-1755227",
" ","2377  ","微星  ","632000","2380489","-1748489",
" ","2317  ","鴻海  ","16666030","18414210","-1748180",
" ","5871  ","F-中租","1511900","3222680","-1710780",
" ","2880  ","華南金","2738000","4428460","-1690460",
" ","9939  ","宏全  ","415000","2077000","-1662000",
" ","3673  ","F-TPK ","1185000","2827540","-1642540",
" ","1702  ","南僑  ","421000","1990002","-1569002",
" ","2474  ","可成  ","681000","2231262","-1550262",
" ","2344  ","華邦電","1138000","2542756","-1404756",
" ","2105  ","正新  ","2028000","3404575","-1376575",
" ","2891  ","中信金","14726900","16016586","-1289686",
" ","2634  ","漢翔  ","1867000","3121000","-1254000",
" ","2609  ","陽明  ","103000","1350000","-1247000",
" ","3189  ","景碩  ","1099000","2346000","-1247000",
" ","1402  ","遠東新","2531000","3752173","-1221173",
" ","2034  ","允強  ","147000","1341115","-1194115",
" ","3682  ","亞太電","742000","1927000","-1185000",
" ","2393  ","億光  ","1620000","2787307","-1167307",
" ","2357  ","華碩  ","1444980","2605221","-1160241",
" ","2801  ","彰銀  ","1795000","2894392","-1099392",
" ","2308  ","台達電","6227000","7296351","-1069351",
" ","1440  ","南紡  ","197000","1239000","-1042000",
" ","1590  ","F-亞德","278000","1307200","-1029200",
" ","2301  ","光寶科","2389881","3367802","-977921",
" ","2834  ","臺企銀","1615872","2545000","-929128",
" ","2883  ","開發金","10666000","11577539","-911539",
" ","2856  ","元富證","80000","962328","-882328",
" ","3702  ","大聯大","2040000","2921855","-881855",
" ","2201  ","裕隆  ","227000","1089000","-862000",
" ","6505  ","台塑化","274000","1127000","-853000",
" ","6285  ","啟碁  ","176000","1018333","-842333",
" ","2371  ","大同  ","48000","883000","-835000",
" ","2449  ","京元電","470235","1301000","-830765",
" ","2812  ","台中銀","145000","964000","-819000",
" ","1319  ","東陽  ","367000","1152000","-785000",
" ","2534  ","宏盛  ","128000","876108","-748108",
" ","2313  ","華通  ","1466000","2213000","-747000",
" ","1326  ","台化  ","1798000","2539554","-741554",
" ","1101  ","台泥  ","2183000","2917761","-734761",
" ","2499  ","東貝  ","411000","1126953","-715953",
" ","2845  ","遠東銀","256000","951000","-695000",
" ","9904  ","寶成  ","2936350","3601798","-665448",
" ","6239  ","力成  ","1897000","2558000","-661000",
" ","8016  ","矽創  ","85214","731380","-646166",
" ","3006  ","晶豪科","448000","1093000","-645000",
" ","2542  ","興富發","1018500","1661000","-642500",
" ","2360  ","致茂  ","579077","1219000","-639923",
" ","2395  ","研華  ","383034","980139","-597105",
" ",="0055  ","寶金融","4000","600000","-596000",
" ","1504  ","東元  ","3864000","4453000","-589000",
" ","6176  ","瑞儀  ","2180000","2766950","-586950",
" ","6213  ","聯茂  ","76000","662000","-586000",
" ","3231  ","緯創  ","7806890","8374385","-567495",
" ","2439  ","美律  ","822000","1379150","-557150",
" ","2833  ","台壽保","309000","863000","-554000",
" ","3704  ","合勤控","276000","820507","-544507",
" ","3376  ","新日興","103000","642930","-539930",
" ","2349  ","錸德  ","386000","924000","-538000",
" ","1704  ","榮化  ","381000","906000","-525000",
" ","2915  ","潤泰全","729800","1248045","-518245",
" ","2489  ","瑞軒  ","351000","868800","-517800",
" ","2025  ","千興  ","158000","665000","-507000",
" ","1532  ","勤美  ","445800","950000","-504200",
" ","2889  ","國票金","41000","530000","-489000",
" ","1718  ","中纖  ","200000","687000","-487000",
" ","1229  ","聯華  ","179100","656600","-477500",
" ","1714  ","和桐  ","327000","794000","-467000",
" ","1337  ","F-再生","263000","723000","-460000",
" ","2106  ","建大  ","82000","536590","-454590",
" ","1715  ","萬洲  ","36400","490675","-454275",
" ","4915  ","致伸  ","2229000","2667458","-438458",
" ","1604  ","聲寶  ","358200","796000","-437800",
" ","4532  ","瑞智  ","96000","527214","-431214",
" ",="0056  ","高股息","0","398000","-398000",
" ","4958  ","F-臻鼎","719000","1113000","-394000",
" ","2303  ","聯電  ","14658000","15050673","-392673",
" ","5880  ","合庫金","1866000","2255797","-389797",
" ","2908  ","特力  ","2000","391000","-389000",
" ","2385  ","群光  ","1220458","1594982","-374524",
" ","2368  ","金像電","159000","527000","-368000",
" ","1513  ","中興電","42000","404000","-362000",
" ","5534  ","長虹  ","41000","402076","-361076",
" ","2505  ","國揚  ","2000","357636","-355636",
" ",="08396P","永豐FD","0","350000","-350000",
" ","3035  ","智原  ","1343000","1693000","-350000",
" ","2451  ","創見  ","123000","466000","-343000",
" ","4938  ","和碩  ","3358500","3697710","-339210",
" ","2345  ","智邦  ","305000","643494","-338494",
" ","3561  ","昇陽科","281000","618000","-337000",
" ","9933  ","中鼎  ","461000","794000","-333000",
" ","2102  ","泰豐  ","39000","364000","-325000",
" ",="081450","國泰7M","10000","331000","-321000",
" ","2204  ","中華  ","1259100","1579158","-320058",
" ","5434  ","崇越  ","63000","380911","-317911",
" ","3686  ","達能  ","206000","521000","-315000",
" ","6005  ","群益證","979000","1294000","-315000",
" ","1310  ","台苯  ","109000","418258","-309258",
" ","2606  ","裕民  ","193000","494000","-301000",
" ",="079967","LP富邦","0","300000","-300000",
" ",="08588P","7B亞東","0","300000","-300000",
" ","1315  ","達新  ","18000","307000","-289000",
" ","2062  ","橋椿  ","246100","531000","-284900",
" ","3591  ","艾笛森","30000","310000","-280000",
" ","1434  ","福懋  ","204000","482000","-278000",
" ","5280  ","F-敦泰","17000","294000","-277000",
" ","2637  ","F-慧洋","3000","274000","-271000",
" ","2847  ","大眾銀","43000","314000","-271000",
" ","3519  ","綠能  ","214000","483000","-269000",
" ","2441  ","超豐  ","204300","465000","-260700",
" ","4934  ","太極  ","43000","293000","-250000",
" ","2841  ","台開  ","0","245000","-245000",
" ","2820  ","華票  ","611900","845000","-233100",
" ","1218  ","泰山  ","39000","256000","-217000",
" ","8215  ","明基材","551000","767949","-216949",
" ","2905  ","三商行","82000","295000","-213000",
" ","5471  ","松翰  ","68000","281000","-213000",
" ","1447  ","力鵬  ","225000","436000","-211000",
" ","2467  ","志聖  ","166000","373000","-207000",
" ","5522  ","遠雄  ","755000","956500","-201500",
" ","1592  ","F-英瑞","0","200000","-200000",
" ","2109  ","華豐  ","23000","221000","-198000",
" ","3055  ","蔚華科","15000","213000","-198000",
" ","2614  ","東森  ","125000","320000","-195000",
" ","2006  ","東鋼  ","411000","604899","-193899",
" ","3033  ","威健  ","16000","208000","-192000",
" ","1723  ","中碳  ","84000","275838","-191838",
" ","1507  ","永大  ","94000","284257","-190257",
" ","2497  ","怡利電","42000","227000","-185000",
" ","4960  ","奇美材","627000","811697","-184697",
" ","1707  ","葡萄王","56000","236000","-180000",
" ","1227  ","佳格  ","195430","373000","-177570",
" ","3504  ","揚明光","43000","219000","-176000",
" ","4142  ","國光生","3000","175000","-172000",
" ","1708  ","東鹼  ","129000","300926","-171926",
" ","1710  ","東聯  ","288000","459000","-171000",
" ","8039  ","台虹  ","227000","389151","-162151",
" ","3042  ","晶技  ","209000","369714","-160714",
" ","2015  ","豐興  ","53000","212000","-159000",
" ","2727  ","王品  ","25000","183913","-158913",
" ","8110  ","華東  ","85000","243000","-158000",
" ","3023  ","信邦  ","226000","383000","-157000",
" ","3060  ","銘異  ","19000","176000","-157000",
" ","6189  ","豐藝  ","15000","170000","-155000",
" ","2515  ","中工  ","270000","422000","-152000",
" ","3596  ","智易  ","54000","205813","-151813",
" ","1313  ","聯成  ","258000","409000","-151000",
" ","2103  ","台橡  ","582000","729550","-147550",
" ","2855  ","統一證","147400","290000","-142600",
" ","9921  ","巨大  ","304026","445066","-141040",
" ","1305  ","華夏  ","208000","345000","-137000",
" ","2913  ","農林  ","166000","302000","-136000",
" ","2912  ","統一超","1315000","1450010","-135010",
" ","1712  ","興農  ","102000","236739","-134739",
" ","9925  ","新保  ","208000","342660","-134660",
" ","6205  ","詮欣  ","23000","157000","-134000",
" ","2059  ","川湖  ","77000","209000","-132000",
" ","1417  ","嘉裕  ","0","130000","-130000",
" ","2390  ","云辰  ","205000","335000","-130000",
" ","1304  ","台聚  ","196000","322000","-126000",
" ","3044  ","健鼎  ","771000","897000","-126000",
" ","1608  ","華榮  ","1000","126000","-125000",
" ","1717  ","長興  ","146000","268060","-122060",
